43356904285,144606537,falinere,Falinere,509670,Science & Technology,live,Testing skills we've created !poketeam !FalinereFantasy,27,2021-08-21T02:10:34Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_falinere-{width}x{height}.jpg,"['67259b26-ff83-444e-9d3c-faab390df16f', '6131f3f8-67aa-4c2d-b9c3-daa8f95a850e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'f588bd74-e496-4d11-9169-3597f38a5d25', 'a59f1e4e-257b-4bd0-90c7-189c3efbf917']",True,2021-08-21 08:07:45.299875
43357134909,473060639,security_live,Security_Live,509670,Science & Technology,live,Working on VeryNiceTTS.com & purposely vulnerable chat - Splunk! - Hack and learn for free at https://hackandwin.com,26,2021-08-21T02:25:55Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_security_live-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],True,2021-08-21 08:07:45.299875
43359732589,483520630,switchdoctorau,SwitchDoctorAU,509670,Science & Technology,live,Building my new PC // !discord !buildservice,22,2021-08-21T06:01:43Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_switchdoctorau-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],False,2021-08-21 08:07:45.299875
43359189501,24983592,incarne,Incarne,509670,Science & Technology,live,Unity + Blender Game Dev,21,2021-08-21T05:02:59Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_incarne-{width}x{height}.jpg,"['cb8be71b-4d29-408e-b7bf-551ca26ea5b9', 'f588bd74-e496-4d11-9169-3597f38a5d25', '85a78d1f-77e7-468e-a3e5-76ed7c99864b', 'b97ee881-e15a-455d-9876-657fcba7cfd8', '02ba4017-ed3b-4b82-ab20-011860784f77', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",False,2021-08-21 08:07:45.299875
43350350301,542016389,dynamicearthcommunitylive,dynamicearthcommunitylive,509670,Science & Technology,live,Live Seismic Monitor,18,2021-08-20T17:49:57Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dynamicearthcommunitylive-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],False,2021-08-21 08:07:45.299875
39852837851,458144661,verolafox,verolafox,509670,Science & Technology,live,chill and learn more JavaScript with me! (baby dev in the making),18,2021-08-21T06:05:52Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_verolafox-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2193eee1-b8f0-43bd-a6d9-dba8a67528a1', 'b741fd1d-e96d-49b8-9f2d-03a631c33e04', 'a59f1e4e-257b-4bd0-90c7-189c3efbf917', '589c4c39-a3cc-41fa-b70c-bf0b735fa21f']",False,2021-08-21 08:07:45.299875
43358120413,30040748,louis_vd,Louis_VD,509670,Science & Technology,live,"housing, furniture and carpentry 🗡️ Swords 'n Magic & Stuff 🛡️",17,2021-08-21T03:34:02Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_louis_vd-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'f588bd74-e496-4d11-9169-3597f38a5d25', 'a59f1e4e-257b-4bd0-90c7-189c3efbf917', 'bfedff64-c53a-4e6f-bda4-9eeb36dc8853', '85a78d1f-77e7-468e-a3e5-76ed7c99864b', '7b49f69a-5d95-4c94-b7e3-66e2c0c6f6c6']",False,2021-08-21 08:07:45.299875
39852252683,628918641,rockfightcnddeb,RockfightCndDeb,509670,Science & Technology,live,"Rockfight Spectros 
",17,2021-08-21T03:33:07Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_rockfightcnddeb-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],False,2021-08-21 08:07:45.299875
43017917052,60213517,oceansgiant,OCEANSGIANT,509670,Science & Technology,live,"🌊 Storms, Music, and Pentesting 🌊",17,2021-08-21T03:53:40Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_oceansgiant-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8282259b-a997-4c63-b908-24027f64ac9a', 'e1a43486-eee5-4f36-9ee6-76e72af00180']",True,2021-08-21 08:07:45.299875
43359257757,57400421,jacksfacts,jacksfacts,509670,Science & Technology,live,An Evolutionary Biologist and chat learn more about animals while he edits his wildlife photos.,16,2021-08-21T05:09:41Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_jacksfacts-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '3dc8f084-d886-4264-b20f-8bd5f90562b5', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'e3c42c93-376e-4e8e-aa5d-c4e06a765416', '325a32c7-7b8e-48f8-b4fa-10875f18bb6d']",False,2021-08-21 08:07:45.299875
43344656973,191570040,cuteavalanche,cuteavalanche,509670,Science & Technology,live,24/7 Kitten Cam ,16,2021-08-20T04:04:17Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_cuteavalanche-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '7a3d677a-1e09-4391-b520-1fccc0e7d6ca', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '3dc8f084-d886-4264-b20f-8bd5f90562b5']",False,2021-08-21 08:07:45.299875
43352465709,101193352,peachykm,PeachyKM,509670,Science & Technology,live,!100th Stream Today! | 8HRs Up To 24HRs!!!,10,2021-08-20T20:55:12Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_peachykm-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],False,2021-08-21 08:07:45.299875
43016751820,21544275,apostolique,Apostolique,509670,Science & Technology,live,Coding my new free space pathfinding algorithm,9,2021-08-21T00:56:51Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_apostolique-{width}x{height}.jpg,"['a59f1e4e-257b-4bd0-90c7-189c3efbf917', 'f588bd74-e496-4d11-9169-3597f38a5d25', 'cea7bc0c-75a5-4446-8743-6db031b71550', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",False,2021-08-21 08:07:45.299875
